,POS,PLAYER,Mat ,Inns ,NO ,Runs ,HS ,Avg ,BF ,SR ,100,50,4s ,6s ,POS,PLAYER,Pts ,Mat ,Wkts ,Dots ,4s ,6s ,Catches ,Stumpings ,POS,PLAYER,Distance (m) 
55,56,Glenn Maxwell ,13.0,11.0,4.0,108.0,32,15.42,106.0,101.88,0.0,0.0,9.0,0.0,55,James Pattinson ,126.5,10.0,11.0,78.0,2.0,0.0,2.0,0.0,56,Kieron Pollard ,91.0
56,57,Saurabh Tiwary ,7.0,5.0,0.0,103.0,42,20.6,80.0,128.75,0.0,0.0,8.0,3.0,56,Ambati Rayudu ,124.5,12.0,0.0,0.0,30.0,12.0,3.0,0.0,57,Shreyas Iyer ,91.0
57,58,Deepak Hooda ,7.0,5.0,4.0,101.0,62* ,101,71.0,142.25,0.0,1.0,5.0,5.0,57,Chris Gayle ,120.5,7.0,0.0,0.0,15.0,23.0,1.0,0.0,58,Shivam Dube ,91.0
58,59,Vijay Shankar ,7.0,5.0,1.0,97.0,52* ,24.25,96.0,101.04,0.0,1.0,10.0,1.0,58,Kartik Tyagi ,119.5,10.0,9.0,83.0,0.0,0.0,2.0,0.0,59,Hardik Pandya ,91.0
59,60,Riyan Parag ,12.0,8.0,1.0,86.0,42* ,12.28,77.0,111.68,0.0,0.0,6.0,3.0,59,Andre Russell ,119.0,10.0,6.0,39.0,9.0,9.0,2.0,0.0,60,Kieron Pollard ,91.0
60,61,Tom Curran ,5.0,4.0,3.0,83.0,54* ,83,62.0,133.87,0.0,1.0,5.0,3.0,60,Steve Smith ,116.5,14.0,0.0,0.0,32.0,9.0,2.0,0.0,61,Shreyas Iyer ,91.0
61,62,Josh Philippe ,5.0,5.0,1.0,78.0,33,19.5,77.0,101.29,0.0,0.0,9.0,1.0,61,Murugan Ashwin ,115.0,9.0,10.0,70.0,0.0,0.0,4.0,0.0,62,Nicholas Pooran ,91.0
62,63,Gurkeerat Mann Singh ,8.0,5.0,5.0,71.0,21* ,- ,80.0,88.75,0.0,0.0,8.0,0.0,62,Kane Williamson ,115.0,12.0,0.0,0.0,26.0,10.0,6.0,0.0,63,Steve Smith ,91.0
63,64,Abhishek Sharma ,8.0,7.0,2.0,71.0,31,14.2,56.0,126.78,0.0,0.0,6.0,3.0,63,Chris Jordan ,111.0,9.0,9.0,62.0,2.0,0.0,5.0,0.0,64,Jofra Archer ,91.0
64,65,Jason Holder ,7.0,4.0,2.0,66.0,26* ,33,53.0,124.52,0.0,0.0,5.0,3.0,64,Shardul Thakur ,108.0,9.0,10.0,68.0,0.0,0.0,2.0,0.0,65,Virat Kohli ,91.0
65,66,Kedar Jadhav ,8.0,5.0,2.0,62.0,26,20.66,66.0,93.93,0.0,0.0,7.0,0.0,65,Shivam Mavi ,107.0,8.0,9.0,63.0,1.0,0.0,4.0,0.0,66,David Warner ,91.0
66,67,Mahipal Lomror ,3.0,3.0,0.0,59.0,47,19.66,54.0,109.25,0.0,0.0,2.0,3.0,66,Prithvi Shaw ,105.5,13.0,0.0,0.0,27.0,8.0,4.0,0.0,67,Yashasvi Jaiswal ,91.0
67,68,Kagiso Rabada ,17.0,8.0,4.0,56.0,15* ,14,49.0,114.28,0.0,0.0,4.0,2.0,67,Aaron Finch ,105.5,12.0,0.0,0.0,28.0,8.0,3.0,0.0,68,Manish Pandey ,91.0
68,69,Lockie Ferguson ,5.0,2.0,2.0,43.0,24* ,- ,29.0,148.27,0.0,0.0,4.0,1.0,68,MS Dhoni ,104.5,14.0,0.0,0.0,16.0,7.0,15.0,1.0,69,Nitish Rana ,90.0
69,70,Krishnappa Gowtham ,2.0,2.0,1.0,42.0,22* ,42,27.0,155.55,0.0,0.0,3.0,2.0,69,Virat Kohli ,103.5,15.0,0.0,0.0,23.0,11.0,3.0,0.0,70,Jonny Bairstow ,90.0
70,71,Yashasvi Jaiswal ,3.0,3.0,0.0,40.0,34,13.33,44.0,90.9,0.0,0.0,2.0,2.0,70,Nathan Coulter-Nile ,101.5,7.0,5.0,69.0,4.0,0.0,2.0,0.0,71,Krunal Pandya ,90.0
